QuellenId,URL
1,https://www.youtube.com/watch?v=I98c_Lzr4HY&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=24
2,https://www.youtube.com/watch?v=gbKwvkQLYUw&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=23
3,https://www.youtube.com/watch?v=Sok80-4s_B4&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=22
4,https://www.youtube.com/watch?v=XDsJZ6kxUd0&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=21
5,https://www.youtube.com/watch?v=6fKd1IZsayg&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=20
6,https://www.youtube.com/watch?v=c7sA3YUfK7Q&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=19
7,https://www.youtube.com/watch?v=FlP_BAIRrzg&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=18
8,https://www.youtube.com/watch?v=EG1nb2-T0qA&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=17
9,https://www.youtube.com/watch?v=dkC1UMw03kU&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=16
10,https://www.youtube.com/watch?v=0E92ZSslcUE&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=15
11,https://www.youtube.com/watch?v=b-07wLKfQhc&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=14
12,https://www.youtube.com/watch?v=yn6xwq3IZ5g&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=13
13,https://www.youtube.com/watch?v=B6EaYNmQvW8&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=12
14,https://www.youtube.com/watch?v=vpReFyBgVq4&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=11
15,https://www.youtube.com/watch?v=swqT4S8LfiU&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=10
16,https://www.youtube.com/watch?v=ooSHbASSGt8&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=9
17,https://www.youtube.com/watch?v=p65CeS0O9AA&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=8
18,https://www.youtube.com/watch?v=tDMdQP1vuE0&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=7
19,https://www.youtube.com/watch?v=RfvNP1wjOUI&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=6
20,https://www.youtube.com/watch?v=WwQbc48Xq5g&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=5
21,https://www.youtube.com/watch?v=NXFKECfSKF0&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=4
22,https://www.youtube.com/watch?v=VMNFxVpFGTM&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=3
23,https://www.youtube.com/watch?v=7l1atA-QqA4&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=2
24,https://www.youtube.com/watch?v=2OWKO0EPUfw&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=1
25,https://www.youtube.com/watch?v=TPp8RxGgreQ&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=15
26,https://www.youtube.com/watch?v=L0jRiFoY73I&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=14
27,https://www.youtube.com/watch?v=1Q4oV4vFHRE&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=12
28,https://www.youtube.com/watch?v=9ElNegS9al8&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=11
29,https://www.youtube.com/watch?v=jBSMYCeW-X0&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=10
30,https://www.youtube.com/watch?v=Sc-gyayq1ZA&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=9
31,https://www.youtube.com/watch?v=RGEARERS5pc&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=8
32,https://www.youtube.com/watch?v=7xBKqEzRtZE&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=7
33,https://www.youtube.com/watch?v=j3Cs-RjHGy0&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=6
34,https://www.youtube.com/watch?v=uBKKR6LaOh8&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=5
35,https://www.youtube.com/watch?v=WeOU0DF61dQ&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=4
36,https://www.youtube.com/watch?v=ywuf5Z4xg58&list=PL9YwjYP6jANUXMlA4DqtH9bwlXATZxE3M&index=3
